,dutch,french,french_bis,italian,portuguese,spanish
0_Numbers,3775.0,3770.0,3765.0,3775.0,3778.0,3811.0
1_ACC,43.58,31.09,37.53,44.0,32.45,46.89
1_AUC,39.83,35.58,38.22,42.6,39.08,39.49
2_F1-AUC,39.76,33.3,37.28,42.06,35.77,39.66
2_H-F1,54.99,33.18,45.02,53.58,31.87,60.44
2_MacF1,39.7,31.02,36.35,41.51,32.45,39.84
2_NH-F1,24.41,28.86,27.68,29.44,33.02,19.23
ACC_black people,41.15,35.86,43.68,65.98,28.44,48.75
ACC_disabled people,43.91,41.61,40.47,40.0,39.68,67.12
ACC_gay people,55.63,30.11,58.39,65.75,53.21,68.25
ACC_immigrants,31.49,27.13,27.36,28.74,27.98,46.94
ACC_jews,48.97,36.09,36.09,66.21,28.21,48.3
ACC_muslims,46.21,24.83,24.83,24.83,25.92,27.21
ACC_trans people,49.89,28.74,49.43,40.69,24.48,45.8
ACC_women,47.36,26.05,26.05,32.18,27.48,47.79
AUC_black people,41.22,36.09,39.25,46.65,39.54,39.88
AUC_disabled people,40.72,34.27,34.22,38.81,38.81,46.91
AUC_gay people,42.82,34.96,42.98,45.18,41.87,45.99
AUC_immigrants,38.17,41.56,36.77,46.91,42.16,39.02
AUC_jews,43.39,37.89,37.89,46.47,40.36,38.58
AUC_muslims,42.23,47.64,47.64,48.3,43.08,47.06
AUC_trans people,41.35,35.04,40.06,44.21,42.44,36.95
AUC_women,43.65,43.04,43.04,43.24,49.09,38.4
F1-AUC_black people,39.77,34.86,38.89,46.03,33.99,40.03
F1-AUC_disabled people,40.05,34.62,34.45,37.8,37.74,46.17
F1-AUC_gay people,42.97,32.25,43.0,44.2,42.06,44.58
F1-AUC_immigrants,34.66,34.21,32.06,37.44,34.96,39.13
F1-AUC_jews,42.99,36.12,36.12,45.75,34.26,38.87
F1-AUC_muslims,41.63,34.85,34.85,35.03,34.06,36.54
F1-AUC_trans people,41.41,31.75,40.25,41.64,32.91,37.27
F1-AUC_women,42.92,34.12,34.12,37.7,37.39,38.69
MM_black people,41.09,35.65,47.73,83.69,18.13,56.68
MM_disabled people,46.83,48.34,46.32,41.09,40.48,85.16
MM_gay people,67.37,25.68,72.51,84.59,63.75,88.13
MM_immigrants,25.38,13.9,18.73,12.08,14.8,54.01
MM_jews,54.08,34.44,34.44,84.29,16.92,56.97
MM_muslims,49.85,3.93,3.93,3.32,9.97,9.5
MM_trans people,57.7,22.96,58.01,37.46,8.18,53.71
MM_women,50.76,10.12,10.12,22.05,7.88,56.62
MacF1_black people,38.33,33.62,38.52,45.41,28.43,40.17
MacF1_disabled people,39.37,34.97,34.68,36.79,36.67,45.44
MacF1_gay people,43.12,29.55,43.01,43.22,42.24,43.17
MacF1_immigrants,31.14,26.87,27.35,27.96,27.76,39.24
MacF1_jews,42.59,34.34,34.34,45.03,28.17,39.15
MacF1_muslims,41.02,22.06,22.06,21.77,25.05,26.02
MacF1_trans people,41.46,28.46,40.43,39.07,23.38,37.59
MacF1_women,42.19,25.19,25.19,32.17,25.7,38.98
OP_black people,41.35,36.54,30.77,9.62,60.95,23.08
OP_disabled people,34.62,20.19,22.12,36.54,37.14,8.65
OP_gay people,18.27,44.23,13.46,5.77,20.0,3.85
OP_immigrants,50.96,69.23,54.81,81.73,69.52,24.04
OP_jews,32.69,41.35,41.35,8.65,63.81,20.19
OP_muslims,34.62,91.35,91.35,93.27,76.19,84.62
OP_trans people,25.0,47.12,22.12,50.96,76.7,20.19
OP_women,36.54,75.96,75.96,64.42,90.29,20.19
fn_black people,195.0,213.0,173.0,54.0,271.0,146.0
fn_disabled people,176.0,171.0,175.0,195.0,197.0,50.0
fn_gay people,108.0,246.0,91.0,51.0,120.0,40.0
fn_immigrants,247.0,285.0,269.0,291.0,282.0,155.0
fn_jews,152.0,217.0,217.0,52.0,275.0,145.0
fn_muslims,166.0,318.0,318.0,320.0,298.0,305.0
fn_trans people,140.0,255.0,139.0,207.0,303.0,156.0
fn_women,163.0,293.0,293.0,258.0,304.0,141.0
fp_black people,61.0,66.0,72.0,94.0,41.0,80.0
fp_disabled people,68.0,83.0,81.0,66.0,66.0,95.0
fp_gay people,85.0,58.0,90.0,98.0,84.0,100.0
fp_immigrants,51.0,32.0,47.0,19.0,32.0,79.0
fp_jews,70.0,61.0,61.0,95.0,38.0,83.0
fp_muslims,68.0,9.0,9.0,7.0,25.0,16.0
fp_trans people,78.0,55.0,81.0,51.0,24.0,83.0
fp_women,66.0,25.0,25.0,37.0,10.0,83.0
tn_black people,43.0,38.0,32.0,10.0,64.0,24.0
tn_disabled people,36.0,21.0,23.0,38.0,39.0,9.0
tn_gay people,19.0,46.0,14.0,6.0,21.0,4.0
tn_immigrants,53.0,72.0,57.0,85.0,73.0,25.0
tn_jews,34.0,43.0,43.0,9.0,67.0,21.0
tn_muslims,36.0,95.0,95.0,97.0,80.0,88.0
tn_trans people,26.0,49.0,23.0,53.0,79.0,21.0
tn_women,38.0,79.0,79.0,67.0,93.0,21.0
tp_black people,136.0,118.0,158.0,277.0,60.0,191.0
tp_disabled people,155.0,160.0,151.0,136.0,134.0,287.0
tp_gay people,223.0,85.0,240.0,280.0,211.0,297.0
tp_immigrants,84.0,46.0,62.0,40.0,49.0,182.0
tp_jews,179.0,114.0,114.0,279.0,56.0,192.0
tp_muslims,165.0,13.0,13.0,11.0,33.0,32.0
tp_trans people,191.0,76.0,192.0,124.0,27.0,181.0
tp_women,168.0,33.0,33.0,73.0,26.0,184.0
