pValue,p=1_Sum,p=1_STD,p=1_STDp,p=-3_Sum,p=-3_STD,p=-3_STDp,p=-5_Sum,p=-5_STD,p=-5_STDp,p=-8_Sum,p=-8_STD,p=-8_STDp
Target black people,52.76,9.36,4.58,53.74,9.53,4.66,54.24,9.62,4.77,56.83,9.75,4.98
Target disabled people,48.25,9.98,4.77,52.29,10.18,4.87,54.92,10.29,4.99,58.75,10.45,5.23
Target gay people,33.15,7.43,3.71,33.55,7.52,3.76,34.92,7.57,3.82,38.86,7.64,3.96
Target immigrants,53.77,9.20,4.46,54.68,9.35,4.53,55.11,9.43,4.61,55.71,9.53,4.77
Target jews,37.66,7.02,3.11,37.30,7.09,3.14,37.46,7.12,3.17,37.68,7.16,3.23
Target muslims,73.13,13.87,7.94,76.59,14.52,8.35,83.69,14.90,8.89,102.18,15.47,9.92
Target trans people,45.71,8.82,4.55,46.44,8.96,4.62,46.80,9.03,4.71,49.55,9.14,4.88
Target women,50.61,10.76,4.93,52.92,11.05,5.07,58.31,11.21,5.27,68.99,11.47,5.70
Langage dutch,64.51,8.42,4.04,65.42,8.54,4.09,65.85,8.59,4.15,66.45,8.67,4.27
Langage french,57.57,9.60,5.17,56.32,9.76,5.24,56.86,9.83,5.31,59.14,9.91,5.43
Langage french_bis,65.41,10.92,5.66,62.96,11.13,5.74,63.41,11.21,5.82,63.93,11.30,5.92
Langage italian,79.18,12.72,6.36,87.94,13.12,6.54,92.05,13.31,6.73,97.67,13.56,7.08
Langage portuguese,78.73,10.75,5.23,80.48,10.99,5.33,81.28,11.10,5.44,82.33,11.24,5.64
Langage spanish,58.28,10.66,4.63,61.55,10.88,4.71,63.86,10.98,4.79,67.06,11.11,4.95
